drug,7_days,7_days_min,7_days_max,14_days,30_days
Betamethasone Dp 0.05% Lot,420,420,420,840,1800
Betamethasone Dp 0.05% Oint,315,315,315,630,1350
Betamethasone Dp Aug 0.05% Crm,21588,21570,21612,61707,118285
Betamethasone Va 0.1% Cream,11487,11485,11488,25227,52870
Betamethasone Valer 0.12% Foam,35466,35460,35466,75893,202649
Beyaz 28 Tablet,304,0,1906,689,950
Bimatoprost 0.03% Eyelash Soln,0,0,0,0,0
Bisoprolol Fumarate 5 Mg Tab,2618,2609,2625,15437,28218
Blisovi 24 Fe Tablet,0,0,1238,0,0
Blisovi Fe 1-20 Tablet,2825,0,23400,0,0
Blisovi Fe 1.5-30 Tablet,501,0,1702,1788,7716
Breo Ellipta 100-25 Mcg Inh,0,0,0,0,0
Briellyn Tablet,3488,1412,5633,9157,9729
Brilinta 90 Mg Tablet,0,0,0,0,0
Bryhali 0.01% Lotion,0,0,0,0,0
Budesonide 0.5 Mg/2 Ml Susp,0,0,0,0,0
Buprenorphine 8 Mg Tablet Sl,0,0,0,0,0
Buprenorphine-Naloxone 2-0.5 Mg Sl Tablet,0,0,0,0,0
Buprenorphine-Naloxone 8-2 Mg Sl Tablet,3487,3482,3495,3199,9605
Bupropion Hcl 100 Mg Tablet,1015,351,1705,9870,111818
Bupropion Hcl 75 Mg Tablet,1662,1462,1856,7865,54517
Bupropion Hcl Sr 100 Mg Tablet,283,0,937,383,1559
Bupropion Hcl Sr 150 Mg Tablet,3093,945,5283,6644,14200
Bupropion Hcl Sr 200 Mg Tablet,0,0,0,0,26019
Bupropion Hcl Xl 150 Mg Tablet,2606,378,4841,6892,21272
Bupropion Hcl Xl 300 Mg Tablet,5595,3373,7850,11688,29700
Buspirone Hcl 10 Mg Tablet,0,0,0,0,0
Buspirone Hcl 15 Mg Tablet,1803,819,2776,0,0
Buspirone Hcl 30 Mg Tablet,0,0,0,0,0
Buspirone Hcl 5 Mg Tablet,3977,1725,6291,7983,0
Buspirone Hcl 7.5 Mg Tablet,0,0,1532,777,15600
Calcipotriene 0.005% Cream,0,0,0,0,528894
Calcipotriene 0.005% Ointment,15021,15014,15027,35981,65552
Calcipotriene 0.005% Solution,8611,8603,8617,28074,101170
Calcipotriene-Betameth Dp Oint,0,0,0,0,0
Calcitriol 0.5 Mcg Capsule,31819,31819,31822,27514,0
Calcium 500 Mg Tablet,700,700,700,1400,3000
Calcium 600 Mg Tablet,4276,4276,4280,33736,11186
Camila 0.35 Mg Tablet,171,0,3241,0,0
Camrese 0.15-0.03-0.01 Mg Tab,0,0,9665,0,0
Camrese Lo Tablet,2304,0,5941,4433,9088
"Canasa 1,000 Mg Suppository",0,0,0,0,0
Carvedilol 12.5 Mg Tablet,0,0,0,0,0
Carvedilol 25 Mg Tablet,111229,110000,112588,190659,585671
Carvedilol 3.125 Mg Tablet,0,0,0,0,0
Caziant 28 Day Tablet,597,0,1732,1490,6119
Cefdinir 300 Mg Capsule,2416,2416,2416,507,0
Cefuroxime Axetil 250 Mg Tab,0,0,0,0,0
Celecoxib 200 Mg Capsule,0,0,0,0,0
Cephalexin 250 Mg Tablet,0,0,0,0,14216
Cephalexin 500 Mg Capsule,0,0,0,0,0
Cetirizine Hcl 10 Mg Tablet,0,0,0,0,0
Chantix Starting Month Box,0,0,0,0,0
Chateal-28 Tablet,0,0,0,319,0
Chlorhexidine 0.12% Rinse,0,0,0,0,0
Chlorthalidone 25 Mg Tablet,137612,137540,137720,421517,958724
Chlorzoxazone 500 Mg Tablet,54061,53973,54103,124851,475024
Cialis 10 Mg Tablet,12,0,344,0,6857
Cialis 2.5 Mg Tablet,74,37,110,348,1831
Cialis 20 Mg Tablet,92,0,194,230,526
Cialis 5 Mg Tablet,0,0,0,0,0
Ciclopirox 0.77% Cream,1432,1404,1455,0,0
Ciclopirox 0.77% Gel,25318,25311,25325,58229,19340
Ciclopirox 1% Shampoo,2000,0,6995,3360,3832
Ciclopirox 8% Solution,176,88,265,472,1516
Cimetidine 300 Mg Tablet,6850,6849,6850,16639,0
Cimetidine 800 Mg Tablet,17738,17705,17777,55073,199133
Citalopram Hbr 10 Mg Tablet,0,0,0,0,0
Citalopram Hbr 20 Mg Tablet,0,0,966,0,0
Citalopram Hbr 40 Mg Tablet,1341,1188,1418,0,0
Clind Ph-Benzoyl Pero 1.2-2.5%,0,0,0,3023,101777
Clind Ph-Benzoyl Perox 1.2-5%,466,0,1501,2783,14050
Clinda-Benzoyl Perox 1-5% Pump,712,613,786,5016,25471
Clinda-Tretinoin 1.2%-0.025%,0,0,268,0,0
Clindacin P 1% Pledgets,43371,43227,43461,147274,607660
Clindagel 1% Gel,158021,157040,159032,321930,931691
Clindamycin Ph 1% Gel,965,0,2844,1472,1393
Clindamycin Ph 1% Solution,1695,326,3030,3780,9006
Clindamycin Phos 1% Pledget,0,0,1108,0,0
Clindamycin Phosp 1% Lotion,742,0,2211,1191,1506
Clindamycin Phosphate 1% Foam,20297,20273,20314,28788,79230
Clindamycin Phosphate 1% Gel,524,524,524,0,0
Clindamycin-Benzoyl Perox 1-5%,182,0,3345,0,0
Clobetasol 0.05% Cream,671,0,1725,1487,3771
Clobetasol 0.05% Gel,12038,12038,12038,28108,56063
Clobetasol 0.05% Ointment,17954,17900,18016,47087,116896
Clobetasol 0.05% Shampoo,30554,30485,30642,54697,0
Clobetasol 0.05% Solution,693,0,2331,1616,4652
Clobetasol 0.05% Topical Lotn,957,923,962,0,0
Clobetasol Emollnt 0.05% Foam,86819,86594,86978,199025,322345
Clobetasol Emulsion 0.05% Foam,0,0,0,0,0
Clobetasol Prop 0.05% Foam,0,0,3247,0,0
Clobetasol Prop 0.05% Spray,0,0,0,0,0
Clobex 0.05% Spray,80424,80165,80633,75287,256362
Clocortolone 0.1% Cream Pump,0,0,0,0,102490
Clocortolone Pivalate 0.1% Crm,74768,74765,74768,106581,27526
Cloderm 0.1% Cream,0,0,0,0,0
Clomiphene Citrate 50 Mg Tab,0,0,0,0,0
Clonazepam 1 Mg Tablet,0,0,0,0,0
Clonidine Hcl 0.1 Mg Tablet,1101,1099,1104,1709,9058
Clonidine Hcl 0.2 Mg Tablet,0,0,0,0,0
Clonidine Hcl 0.3 Mg Tablet,0,0,0,0,0
Clopidogrel 75 Mg Tablet,3104,2497,3707,6018,15966
Clotrimazole 1% Cream,0,0,0,0,25555
Combivent Respimat Inhal Spray,28,28,28,56,120
Cordran 4 Mcg/sq Cm Tape Large,295,294,295,0,0
Cryselle-28 Tablet,6370,0,12933,13216,26099
Cyclafem 1-35-28 Tablet,1529,1496,1559,1739,0
Cyclafem 7-7-7-28 Tablet,36990,14380,59323,145294,569545
Cyclobenzaprine 10 Mg Tablet,0,0,0,0,0
Cyclobenzaprine 5 Mg Tablet,0,0,0,0,0
Cymbalta 60 Mg Capsule,0,0,0,9170,56053
Cyred 28 Day Tablet,0,0,0,0,0
Dapsone 25 Mg Tablet,0,0,0,0,0
Dapsone 5% Gel,8317,6363,10196,20048,51844
Dasetta 1-35-28 Tablet,0,0,955,0,0
Dasetta 7/7/7-28 Tablet,0,0,0,0,0
Daysee 0.15-0.03-0.01 Mg Tab,4711,4706,4717,36892,126901
Deblitane 0.35 Mg Tablet,9613,0,41934,84867,697514
Delzicol Dr 400 Mg Capsule,251237,250173,252308,527096,662655
Depo-Subq Provera 104 Syringe,0,0,1,0,0
Dermotic Oil 0.01% Ear Drops,0,0,0,0,0
Descovy 200-25 Mg Tablet,714,709,718,1944,24494
Desogestr-Eth Estrad Eth Estra,8217,4078,12303,26439,150870
Desonate 0.05% Gel,3003,1060,4975,6363,14751
Desonide 0.05% Cream,984,0,2354,1255,11355
Desonide 0.05% Lotion,19440,19277,19580,0,0
Desonide 0.05% Ointment,0,0,0,0,0
Desoximetasone 0.05% Ointment,0,0,0,0,0
Desoximetasone 0.25% Cream,7030,6916,7120,24148,127840
Desoximetasone 0.25% Ointment,6311,6308,6312,14263,21689
Desvenlafaxine Suc Er 100 Mg,0,0,0,0,0
Desvenlafaxine Suc Er 25 Mg Tb,2237,2235,2239,5943,9780
Desvenlafaxine Suc Er 50 Mg Tb,0,0,0,0,0
Dexilant Dr 30 Mg Capsule,10161,10155,10168,25483,41770
Dexilant Dr 60 Mg Capsule,12393,12353,12445,35199,120996
Diazepam 10 Mg Tablet,0,0,0,7943,27750
Diclofenac Sod Ec 75 Mg Tab,6980,6980,6980,0,0
Diclofenac Sod Er 100 Mg Tab,0,0,0,0,0
Diclofenac Sodium 1% Gel,15122,15122,15122,15614,92730
Dicyclomine 10 Mg Capsule,54884,54857,54905,132138,94809
Digoxin 0.125 Mg Tablet,0,0,0,0,0
Diphenhist 25 Mg Captab,0,0,0,3746,81604
Disulfiram 250 Mg Tablet,0,0,0,0,0
Divalproex Sod Dr 500 Mg Tab,62982,62934,63018,160443,303054
Divalproex Sod Er 500 Mg Tab,0,0,0,0,0
Docusate Sodium 100 Mg Softgel,0,0,0,0,0
Donepezil Hcl 10 Mg Tablet,0,0,0,0,950
Doryx Dr 200 Mg Tablet,0,0,0,0,0
Doryx Dr 50 Mg Tablet,32825,32825,32825,78522,176057
Doryx Mpc Dr 120 Mg Tablet,33,0,6738,983,2207
Doxazosin Mesylate 1 Mg Tab,16094,16056,16110,33304,46246
Doxazosin Mesylate 2 Mg Tab,4080,4080,4080,19872,18191
Doxazosin Mesylate 8 Mg Tab,6676,6627,6717,7406,0
Doxycycline 50 Mg Tablet,0,0,1551,230,58730
Doxycycline Hyc Dr 100 Mg Tab,0,0,645,0,0
Doxycycline Hyc Dr 150 Mg Tab,3765,2591,4985,14322,44017
Doxycycline Hyc Dr 200 Mg Tab,70,0,3136,34,656
Doxycycline Hyc Dr 50 Mg Tab,2350,0,7059,20440,154063
Doxycycline Hyclate 100 Mg Cap,723,0,2606,1311,2225
Doxycycline Hyclate 100 Mg Tab,850,0,2371,1209,0
Doxycycline Hyclate 150 Mg Tab,1372,311,2397,690,0
Doxycycline Hyclate 20 Mg Tab,834,0,2779,1312,1046
Doxycycline Hyclate 50 Mg Cap,819,0,1647,0,0
Doxycycline Hyclate 75 Mg Tab,0,0,0,0,0
Doxycycline Ir-Dr 40 Mg Cap,875,0,2586,1302,1141
Doxycycline Mono 100 Mg Cap,1834,395,3249,3959,9017
Doxycycline Mono 100 Mg Tablet,17311,17208,17401,48817,112346
Doxycycline Mono 150 Mg Cap,0,0,0,0,49761
Doxycycline Mono 150 Mg Tablet,2606,2592,2619,8929,0
Doxycycline Mono 50 Mg Cap,0,0,0,0,0
Doxycycline Mono 50 Mg Tablet,0,0,0,0,0
Doxycycline Mono 75 Mg Capsule,1806,1782,1825,10191,43511
Doxycycline Mono 75 Mg Tablet,3647,3641,3654,9486,20739
Drithocreme Hp 1% Cream,0,0,0,0,100002
Drosp-Ee-Levomef 3-0.02-0.451,2025,0,5731,4206,10106
Drosp-Ee-Levomef 3-0.03-0.451,0,0,0,0,0
Drospirenone-Ee 3-0.02 Mg Tab,10287,0,42929,20821,34081
Drospirenone-Ee 3-0.03 Mg Tab,13495,4162,22915,30101,83238
Drysol Dab-O-Matic Solution,4106,4106,4106,11653,0
Dulera 100 Mcg/5 Mcg Inhaler,0,0,0,0,0
Duloxetine Hcl Dr 20 Mg Cap,0,0,0,0,0
Duloxetine Hcl Dr 30 Mg Cap,0,0,513,0,0
Duloxetine Hcl Dr 40 Mg Cap,0,0,0,0,1695
Duloxetine Hcl Dr 60 Mg Cap,797,0,3268,1636,4128
Duobrii 0.01%-0.045% Lotion,195621,114180,271609,336981,0
Econazole Nitrate 1% Cream,2678,2261,3088,10788,44961
Ecoza 1% Foam,7712,6848,8571,30235,76921
Edarbyclor 40-12.5 Mg Tablet,0,0,0,0,0
Effexor Xr 150 Mg Capsule,0,0,0,0,0
Eletriptan Hbr 40 Mg Tablet,0,0,0,1335,35752
Elidel 1% Cream,360,0,6201,0,0
Elinest-28 Tablet,13958,13948,13970,31616,56840
Ella 30 Mg Tablet,289,197,381,573,1252
Emgality 120 Mg/ml Pen,73,73,73,2519,7199
Emoquette 28 Day Tablet,4735,3993,5440,13443,23549
Enpresse-28 Tablet,6049,5972,6102,18901,51597
Enskyce 28 Tablet,8637,0,19364,14919,19326
Enstilar 0.005%-0.064% Foam,1695,0,8665,3338,9629
Entresto 49 Mg-51 Mg Tablet,1963,1958,1970,7933,10939
Epiduo 0.1-2.5% Gel Pump,62703,62691,62715,126481,77803
Epiduo Forte 0.3-2.5% Gel Pump,0,0,9478,0,2662
Ergotamine-Caffeine 1-100 Mg Tb,1438,450,2248,2056,0
Errin 0.35 Mg Tablet,0,0,2148,0,0
Erythromycin 2% Gel,5426,5416,5436,2083,2678
Erythromycin 2% Solution,0,0,0,0,10645
Escitalopram 10 Mg Tablet,1986,0,4013,3609,6779
Escitalopram 20 Mg Tablet,3183,911,5438,7624,17326
Escitalopram 5 Mg Tablet,1517,692,2356,8064,69584
Esomeprazole Mag Dr 20 Mg Cap,12817,12803,12828,37191,67054
Esomeprazole Mag Dr 40 Mg Cap,9110,9100,9124,26022,29114
Estarylla 0.25-0.035 Mg Tablet,0,0,0,0,1013
Estradiol 0.5 Mg Tablet,43263,43006,43644,42251,94085
Estradiol 1 Mg Tablet,0,0,0,0,0
Estradiol 2 Mg Tablet,7384,7348,7423,17031,0
Estradiol Tds 0.025 Mg/day,0,0,0,0,0
Estradiol-Noreth 0.5-0.1 Mg Tb,19973,19962,19981,47351,67043
Estrostep Fe-28 Tablet,0,0,0,0,0
Eszopiclone 2 Mg Tablet,18545,18545,18545,55761,31851
Eszopiclone 3 Mg Tablet,5236,5236,5237,17122,83702
Eucrisa 2% Ointment,0,0,6119,0,0
Exelderm 1% Cream,0,0,0,0,0
Exelderm 1% Solution,0,0,0,0,0
Exemestane 25 Mg Tablet,74705,74619,74822,243161,588231
Ezetimibe 10 Mg Tablet,0,0,0,0,0
Fabior 0.1% Foam,7922,0,26465,17135,32454
Falmina-28 Tablet,0,0,0,17923,324156
Famotidine 20 Mg Tablet,3003,2994,3009,1245,0
Femynor 28 Tablet,3474,0,17894,8822,28478
Fenofibrate 145 Mg Tablet,0,0,0,0,0
Fenofibrate 160 Mg Tablet,12469,12463,12475,13760,0
Ferrous Sulfate 325 Mg Tablet,4272,4268,4280,17479,35177
Fetzima Er 120 Mg Capsule,0,0,0,0,0
Finacea 15% Foam,23,0,6624,0,0
Finacea 15% Gel,779,0,2500,1336,2708
Finasteride 1 Mg Tablet,461487,249522,675077,929009,1964955
Finasteride 5 Mg Tablet,12086,12077,12095,50613,162027
Flecainide Acetate 150 Mg Tab,420,420,420,840,1800
Fluconazole 150 Mg Tablet,0,0,55,28,496
Fluconazole 200 Mg Tablet,89,0,255,0,0
Fluocinolone 0.01% Body Oil,0,0,0,7997,314719
Fluocinolone 0.01% Scalp Oil,4177,4063,4336,7091,20447
Fluocinolone 0.01% Solution,12831,12764,12900,54259,220283
Fluocinolone 0.025% Cream,17098,17095,17107,145231,635541
Fluocinolone 0.025% Ointment,5330,5323,5335,12406,36271
Fluocinonide 0.05% Cream,3092,2901,3322,14297,70494
Fluocinonide 0.05% Ointment,60738,60698,60786,230372,493742
Fluocinonide 0.05% Solution,34935,33652,36322,26856,124501
Fluorouracil 5% Cream,6261,2625,9864,12938,29430
Fluoxetine Hcl 10 Mg Capsule,1689,1087,2274,721,0
Fluoxetine Hcl 10 Mg Tablet,63,0,274,579,13063
Fluoxetine Hcl 20 Mg Capsule,952,0,3507,274,0
Fluoxetine Hcl 20 Mg Tablet,3366,2440,4271,13631,34068
Fluoxetine Hcl 40 Mg Capsule,891,0,2085,2184,5323
Fluoxetine Hcl 60 Mg Tablet,0,0,0,0,0
Flurandrenolide 0.05% Lotion,0,0,0,0,0
Flurandrenolide 0.05% Ointment,20263,20263,20263,53675,55757
Fluticasone Prop 0.05% Cream,27966,27966,27966,54205,109416
Fluticasone Prop 50 Mcg Spray,403,208,512,174,0
Fluvoxamine Maleate 50 Mg Tab,0,0,0,0,0
Folic Acid 1 Mg Tablet,120260,120132,120463,149540,720189
Foltanx Tablet,210,210,210,420,900
Freestyle 28g Lancets,8283,8240,8324,48719,192448
Furosemide 20 Mg Tablet,13387,13317,13494,9858,0
Furosemide 40 Mg Tablet,17145,17129,17177,31768,0
Furosemide 80 Mg Tablet,0,0,0,0,0
Gabapentin 100 Mg Capsule,0,0,0,0,84299
Gabapentin 300 Mg Capsule,0,0,3520,545,8109
Gabapentin 600 Mg Tablet,21525,21525,21525,68605,242932
Gabapentin 800 Mg Tablet,26074,26074,26074,193772,1100272
Gelnique 10% Gel Sachet,210,210,210,420,900
Gemfibrozil 600 Mg Tablet,0,0,0,0,0
Gianvi 3 Mg-0.02 Mg Tablet,1465,0,33847,4205,10086
Glimepiride 2 Mg Tablet,25324,25324,25324,20739,0
Glimepiride 4 Mg Tablet,0,0,0,0,0
Glipizide 10 Mg Tablet,0,0,0,0,0
Glipizide Er 10 Mg Tablet,0,0,0,0,78099
Glipizide Er 5 Mg Tablet,6066,6066,6066,15789,38953
Glyburide 2.5 Mg Tablet,0,0,0,0,0
Glyburide 5 Mg Tablet,0,0,0,0,0
Glycopyrrolate 1 Mg Tablet,4640,4640,4640,9152,6481
Guanfacine 1 Mg Tablet,1463,832,2187,6705,26860
Guanfacine Hcl Er 2 Mg Tablet,0,0,0,0,0
Halobetasol Prop 0.05% Cream,17883,17877,17891,21521,0
Halobetasol Prop 0.05% Foam,0,0,0,0,0
Halobetasol Prop 0.05% Ointmnt,0,0,0,0,0
Halog 0.1% Cream,0,0,0,193935,363060
Halog 0.1% Ointment,0,0,0,0,0
Heather Tablet,0,0,3235,0,0
Hm Low Dose Aspirin Ec 81 Mg,0,0,0,0,20384
Hm Omeprazole Dr 20 Mg Tablet,0,0,0,0,0
Hm Pain Relief 500 Mg Tablet,0,0,0,0,5267
Hm Sleep Aid 25 Mg Tablet,0,0,0,2368,22208
Humalog 100 Units/ml Vial,0,0,0,0,0
Hyclodex 0.012% Spray Solution,8715,0,18192,95849,641006
Hydrochlorothiazide 12.5 Mg Cp,4561,4557,4564,684,0
Hydrochlorothiazide 12.5 Mg Tb,1016,1012,1020,4548,13967
Hydrochlorothiazide 25 Mg Tab,1454,951,1942,3282,7358
Hydrochlorothiazide 50 Mg Tab,16101,16101,16101,36435,46666
Hydrocort Buty 0.1% Lipo Cream,5694,5684,5699,8099,36249
Hydrocortisone 2.5% Cream,360,0,2961,0,62149
Hydrocortisone 2.5% Lotion,8126,8118,8142,40565,126581
Hydrocortisone 2.5% Ointment,4258,4256,4260,3399,4538
Hydrocortisone 5 Mg Tablet,55720,55667,55794,167297,397899
Hydrocortisone Buty 0.1% Cream,0,0,0,0,0
Hydroquinone 4% Cream,2947,2940,2955,11575,57020
Hydroxychloroquine 200 Mg Tab,463,0,2428,0,0
Hydroxyzine Hcl 10 Mg Tablet,21876,21830,21908,37535,0
Hydroxyzine Hcl 25 Mg Tablet,12748,12606,12868,74675,329339
Hydroxyzine Hcl 50 Mg Tablet,14346,14346,14347,34673,83022
Hydroxyzine Pam 25 Mg Cap,2658,2657,2675,0,0
Ibuprofen 600 Mg Tablet,0,0,0,0,25437
Ibuprofen 800 Mg Tablet,0,0,0,0,0
Imiquimod 5% Cream Packet,904,792,1019,1889,2562
Impoyz 0.025% Cream,3187,0,7629,5085,2167
Indomethacin 50 Mg Capsule,44349,44347,44355,64047,0
Introvale 0.15-0.03 Mg Tablet,0,0,0,0,0
Isibloom 28 Day Tablet,236845,233268,240990,1185662,2867775
Ivermectin 3 Mg Tablet,0,0,0,0,21248
Januvia 100 Mg Tablet,7840,7833,7847,21196,42565
Jardiance 25 Mg Tablet,4658,4651,4661,8931,8806
Jolessa 0.15 Mg-0.03 Mg Tablet,4358,4114,4619,24215,86937
Jolivette Tablet,308,0,718,602,1829
Jublia 10% Topical Solution,143,0,703,294,871
Juleber 28 Day Tablet,6064,0,17581,28481,163905
Junel 1 Mg-20 Mcg Tablet,736,0,3188,1415,2246
Junel 1.5 Mg-30 Mcg Tablet,458,0,4183,338,0
Junel Fe 1 Mg-20 Mcg Tablet,2694,0,7582,5761,14422
Junel Fe 1.5 Mg-30 Mcg Tablet,3684,0,13486,8099,25261
Junel Fe 24 Tablet,1026,0,3535,1772,2097
Kaitlib Fe Chewable Tablet,2454,2427,2483,0,0
Kariva 28 Day Tablet,0,0,2369,0,0
Kelnor 1-35 28 Tablet,2690,0,5784,5422,9335
Kelnor 1-50 Tablet,0,0,0,0,0
Keralac 47% Cream,0,0,3471,0,9207
Kerydin 5% Topical Solution,524,323,729,1532,4244
Ketoconazole 2% Cream,105,0,715,0,1705
Ketoconazole 2% Foam,18191,18182,18195,32514,13609
Ketoconazole 2% Shampoo,431,0,2936,334,0
Ketorolac 10 Mg Tablet,1817,1812,1827,6573,19006
L-Methylfolate Calcium 15 Mg,210,210,210,420,900
Labetalol Hcl 200 Mg Tablet,79446,79282,79621,218401,531319
Lamotrigine 100 Mg Tablet,7892,7888,7896,26556,56396
Lamotrigine 150 Mg Tablet,6890,6871,6898,4351,0
Lamotrigine 200 Mg Tablet,3194,3158,3232,1052,0
Lamotrigine 25 Mg Tablet,3263,3256,3273,2237,0
Lamotrigine Er 250 Mg Tablet,0,0,0,1040,72142
Lansoprazole Dr 30 Mg Capsule,0,0,0,0,0
Lantus 100 Units/ml Vial,797,795,800,1772,2106
Larin 1.5 Mg-30 Mcg Tablet,3183,0,7881,6228,15021
Larin 21 1-20 Tablet,12393,4323,20393,23764,7270
Larin 24 Fe 1 Mg-20 Mcg Tablet,1147,0,3612,1977,3202
Larin Fe 1-20 Tablet,1012,0,2658,1413,0
