drug,7_days,7_days_min,7_days_max,14_days,30_days
Doryx Mpc Dr 120 Mg Tablet,-5776,-12516,1097,-10182,-18680
Viagra 50 Mg Tablet,3755,3677,3829,6690,9000
Viagra 25 Mg Tablet,1055,1055,1056,1704,3389
Drosp-Ee-Levomef 3-0.02-0.451,1356,-2274,4978,2427,5033
Mononessa 28 Tablet,1790,-1123,4758,3800,8540
Sorilux 0.005% Foam,1078,-6511,8898,2665,5847
Drospirenone-Ee 3-0.02 Mg Tab,-26544,-60605,7219,-50109,-74918
Zovia 1-35e Tablet,-3362,-7377,651,-6845,-10191
Tri-Lo-Sprintec Tablet,-6859,-18753,5203,-13942,-26571
Microgestin Fe 1-20 Tablet,-356,-3021,2297,-448,900
"Vit D2 1.25 Mg (50,000 Unit)",4885,4839,4932,9420,11627
Lisinopril-Hydrochlorothiazide 10-12.5 Mg Tab,-13730,-13730,-13730,-21647,-19135
Latisse 0.03% Eyelash Solution,2566,590,4488,5119,10786
Velivet 28 Day Tablet,1162,-711,3146,2437,4722
Trinessa Lo Tablet,101,-1292,1439,20,-155
Sildenafil 20 Mg Tablet,161217,100487,222677,321677,648982
Blisovi 24 Fe Tablet,68,-1213,1380,81,148
Simvastatin 40 Mg Tablet,14460,14105,14811,27879,40418
Kelnor 1-35 28 Tablet,1654,-1478,4744,3864,10694
Lo Loestrin Fe 1-10 Tablet,4452,-5170,13917,8799,23320
Fabior 0.1% Foam,-3055,-16774,10287,-5479,-8108
Amlodipine Besylate 2.5 Mg Tab,21777,21620,21912,41926,84328
Xulane Patch,949,-196,2049,1946,4816
Finasteride 1 Mg Tablet,2775,-121432,127748,676,-417
Noreth-Estrad-Fe 1-0.02(24)-75,-1471,-5766,2897,-2345,-693
Trinessa Tablet,9627,5494,13856,18178,22551
Nuvaring Vaginal Ring,276,-785,1326,540,1531
Lutera-28 Tablet,-15946,-48519,16331,-31085,-71803
Yaz 28 Tablet,-1219,-6288,3935,-1621,51
Noreth-Estrad-Fe 1-0.02(21)-75,40210,16217,64519,77159,163179
Cialis 10 Mg Tablet,-22,-139,95,-855,-2076
Ortho Tri-Cyclen 28 Tablet,11,-2542,2605,-770,-3324
Viorele 28 Day Tablet,1248,-3128,5573,4633,13153
Blisovi Fe 1-20 Tablet,21568,227,41943,42587,80216
Levonorgestrel-Eth Estrad 0.15 Mg-0.03 Mg Tablet,2394,-3073,7744,5100,11211
Junel Fe 1.5 Mg-30 Mcg Tablet,3312,-6575,13188,4847,7235
Cialis 5 Mg Tablet,-4846,-5184,-4509,-8117,-9939
Levonest-28 Tablet,-661,-2092,783,-776,768
Cialis 2.5 Mg Tablet,1232,1195,1269,2148,2710
Fluoxetine Hcl 20 Mg Capsule,-1207,-3749,1314,-1753,787
Low-Ogestrel-28 Tablet,-7809,-11635,-3938,-14775,-22440
Ocella 3 Mg-0.03 Mg Tablet,1461,-6058,9139,2317,7383
Aczone 7.5% Gel Pump,5909,-5222,16966,11112,21176
Prednisone 5 Mg Tablet,-5505,-5542,-5469,-25889,-69740
Gabapentin 300 Mg Capsule,2108,-1682,5943,3602,3247
Trazodone 100 Mg Tablet,-28802,-29287,-28328,-47149,-57915
Metoprolol Tartrate 25 Mg Tab,1232,-462,2875,2858,9806
Errin 0.35 Mg Tablet,1000,-1635,3638,1797,2392
Camila 0.35 Mg Tablet,-1222,-4287,1869,-1834,-851
Wera 0.5/0.035 Mg 28 Tablet,1007,-281,2232,1763,3013
Clind Ph-Benzoyl Perox 1.2-5%,5480,4383,6573,10453,14252
Levothyroxine 75 Mcg Tablet,1488,1226,1751,2081,1749
Absorica 30 Mg Capsule,506,-1902,2973,1420,3811
Absorica 40 Mg Capsule,-1700,-4888,1491,-1672,1745
Heather Tablet,-14723,-25159,-3990,-2683,54634
Levothyroxine 88 Mcg Tablet,-1812,-1812,-1812,15653,60968
Warfarin Sodium 1 Mg Tablet,-75,-85,-66,1221,4183
Docusate Sodium 100 Mg Softgel,26429,26262,26609,52955,70478
Reclipsen 28 Day Tablet,-20,-823,792,233,2061
Alprazolam 1 Mg Tablet,-98,-98,-98,472,3735
Hydrochlorothiazide 50 Mg Tab,-17238,-17238,-17238,-49890,-114869
Proventil Hfa 90 Mcg Inhaler,2551,2282,2838,3679,2460
Chlorthalidone 25 Mg Tablet,-6184,-6242,-6118,3514,44397
Lisinopril 20 Mg Tablet,7521,6888,8145,10749,11727
Famotidine 20 Mg Tablet,32554,32544,32566,43043,27975
Clonazepam 1 Mg Tablet,32980,32892,33057,53053,79582
Levitra 2.5 Mg Tablet,21,-7,53,-530,-1094
Aubra-28 Tablet,8715,8684,8743,26237,58234
Zarah Tablet,5311,-4909,15198,8405,12744
Carvedilol 12.5 Mg Tablet,-14158,-14175,-14143,-19451,-27426
Portia-28 Tablet,-2152,-13302,8983,-4680,-11773
Diclofenac Sod Ec 75 Mg Tab,-33987,-33988,-33986,-55832,-24567
Ezetimibe 10 Mg Tablet,-139518,-141666,-137367,-253749,-333841
Simvastatin 20 Mg Tablet,2360,871,3858,4142,9773
Losartan Potassium 100 Mg Tab,928,-233,2118,1686,4016
Omega-3 Ethyl Esters 1 Gm Cap,891,-409,2226,1749,5572
Losartan Potassium 50 Mg Tab,1513,57,2897,3933,11142
Kariva 28 Day Tablet,586,-2295,3468,1824,9002
Atorvastatin 80 Mg Tablet,-30554,-30598,-30516,-85485,-168136
Metformin Hcl 850 Mg Tablet,15978,15854,16100,10721,-36562
Glimepiride 2 Mg Tablet,899,-10,1789,1842,4642
Clobetasol 0.05% Solution,-264,-1820,1310,-476,-517
Rizatriptan 10 Mg Tablet,2652,2635,2671,3473,2874
Rhofade 1% Cream,1397,-1182,4125,2653,6157
Metoprolol Succ Er 25 Mg Tab,-96916,-98091,-95759,-148988,-165538
Norethin-Estra-Fe 0.8-0.025 Mg,700,-1364,2761,1515,3579
Zovia 1-50e Tablet,2235,1817,2652,4987,7851
Levothyroxine 100 Mcg Tablet,945,677,1210,1800,5376
Spironolactone 50 Mg Tablet,-618,-4029,2864,-762,3325
Altavera-28 Tablet,-25809,-26185,-25454,-16827,71900
Trazodone 50 Mg Tablet,44453,43230,45696,80443,115036
Clobetasol 0.05% Cream,370,-680,1455,773,1627
Marlissa-28 Tablet,11807,1551,22123,21905,49133
Armodafinil 250 Mg Tablet,210,210,210,420,900
Ciclopirox 1% Shampoo,383,-4884,5504,728,4160
Doxycycline Hyclate 100 Mg Tab,-359,-1958,1197,366,4181
Halog 0.1% Ointment,7519,7518,7519,18433,30311
Loestrin Fe 1.5-30 Tablet,594,-745,1939,1010,1452
Gabapentin 100 Mg Capsule,47687,47684,47690,91944,143976
Tizanidine Hcl 4 Mg Tablet,-4177,-4199,-4165,-13655,-58576
Ventolin Hfa 90 Mcg Inhaler,194,-122,511,486,868
Sertraline Hcl 50 Mg Tablet,-688,-2686,1309,-48,5339
Mycophenolate 500 Mg Tablet,-30431,-30473,-30401,-23715,47036
Desoximetasone 0.25% Cream,-2949,-3337,-2532,68,16289
Hydroxyzine Hcl 10 Mg Tablet,25359,25322,25399,61784,114096
Pantoprazole Sod Dr 40 Mg Tab,1858,17,3664,3417,4387
Metformin Hcl 500 Mg Tablet,774,-2200,3662,-1418,-1929
Progesterone 100 Mg Capsule,499,-75,1090,1301,3447
Propranolol 20 Mg Tablet,1300,-1440,4088,-1109,-1943
Losartan Potassium 25 Mg Tab,5805,5773,5849,119949,380976
Previfem Tablet,349,137,559,960,2132
Spironolactone 25 Mg Tablet,583,-1079,2255,1294,4368
Diphenhist 25 Mg Captab,-2232,-2232,-2232,823,11675
Fluocinonide 0.05% Solution,43336,41991,44657,65307,75032
Bupropion Hcl Xl 150 Mg Tablet,4329,1940,6807,8600,15270
Fluoxetine Hcl 40 Mg Capsule,-359,-1536,844,-912,-803
Loryna 3 Mg-0.02 Mg Tablet,52010,43359,60769,100474,196064
Azathioprine 50 Mg Tablet,21585,21502,21696,53993,96394
Onexton Gel Pump,3925,-2346,10128,8721,16058
Lisinopril-Hydrochlorothiazide 20-25 Mg Tab,-1752,-1972,-1538,-232,2998
Amlodipine Besylate 5 Mg Tab,143,-757,1083,-447,-1245
Drysol Dab-O-Matic Solution,-24789,-24789,-24789,-62251,-95508
Duloxetine Hcl Dr 60 Mg Cap,1630,-874,4080,2784,4651
Aczone 5% Gel,-11998,-12273,-11726,-12112,4934
Minastrin 24 Fe Chewable Tab,557,-729,1895,1223,3399
Lisinopril 40 Mg Tablet,1195,405,1977,2325,4506
Juleber 28 Day Tablet,-150343,-163349,-137129,-241074,-287820
Hydroquinone 4% Cream,-3082,-3086,-3079,-1700,7890
Omeprazole Dr 40 Mg Capsule,1538,94,2991,2014,3347
Veltin 1.2%-0.025% Gel,35361,35360,35361,34566,-154610
Fluocinonide 0.05% Cream,-1343,-1438,-1227,-4297,-22799
Hydroxyzine Hcl 50 Mg Tablet,10566,10535,10595,12566,17013
Citalopram Hbr 20 Mg Tablet,-529,-2316,1204,-455,1325
Combivent Respimat Inhal Spray,28,28,28,56,120
Myorisan 40 Mg Capsule,630,-2159,3342,1631,4718
Norlyda 0.35 Mg Tablet,-226843,-231074,-222744,-297481,-283103
Venlafaxine Hcl Er 75 Mg Cap,-4314,-5537,-3135,-4844,-1319
Orsythia-28 Tablet,1046,-1151,3274,1520,1704
Triamcinolone 0.1% Ointment,77209,77007,77410,120242,64317
Estradiol Tds 0.025 Mg/day,692,691,693,1717,3694
Taytulla 1 Mg-20 Mcg Capsule,3073,919,5155,4425,5380
Amethia 0.15-0.03-0.01 Mg Tab,2703,-19109,23842,6583,25912
Bupropion Hcl Xl 300 Mg Tablet,2592,153,4954,4681,11135
Estradiol-Noreth 0.5-0.1 Mg Tb,-2208,-2237,-2177,-8210,-13496
Natazia 28 Tablet,16,-1417,1435,1137,5419
Lisinopril 10 Mg Tablet,717,-482,1903,1182,3431
Baclofen 10 Mg Tablet,99944,97537,102233,-42078,-307884
Oxybutynin Cl Er 10 Mg Tablet,5728,5727,5728,7947,3581
Larin Fe 1.5-30 Tablet,4966,-8764,19167,11425,38248
Triamcinolone 0.025% Oint,152346,151963,152779,233152,189646
Fluticasone Prop 50 Mcg Spray,-24392,-24742,-24042,-38655,-41325
Buspirone Hcl 15 Mg Tablet,-65420,-66538,-64307,-104238,-116446
Carvedilol 3.125 Mg Tablet,112547,112546,112547,216913,305962
Tamsulosin Hcl 0.4 Mg Capsule,779,-366,1970,1545,2299
Aspirin Ec 81 Mg Tablet,35054,34614,35490,22635,23574
Ursodiol 300 Mg Capsule,5125,4546,5749,7299,43330
Pioglitazone Hcl 30 Mg Tablet,8955,8948,8965,18563,27206
Losartan-Hydrochlorothiazide 100-25 Mg Tab,-3144,-3157,-3126,-5126,10908
Mupirocin 2% Ointment,-358,-1133,399,-436,499
Tretinoin 0.025% Gel,-17829,-17870,-17787,-45934,-112440
Exemestane 25 Mg Tablet,-22721,-22771,-22675,-35350,-38844
Camrese 0.15-0.03-0.01 Mg Tab,-7502,-23488,7812,-15190,-28858
Topicort 0.25% Spray,12550,12222,12900,28961,41444
Tacrolimus 1 Mg Capsule,-35329,-35329,-35329,-80771,-166290
Furosemide 20 Mg Tablet,-17473,-17476,-17470,-26016,3165
Anastrozole 1 Mg Tablet,-1837,-2031,-1642,-4868,-7478
Doxycycline Mono 50 Mg Tablet,-237,-1361,868,-119,1225
Novolog 100 Units/ml Flexpen,5454,5451,5456,11439,20990
Atorvastatin 20 Mg Tablet,909,-359,2160,2038,5029
Hydroxychloroquine 200 Mg Tab,1921,-69,3999,-207,-1842
Fluconazole 200 Mg Tablet,1840,1650,2032,2030,1164
Seasonique 0.15-0.03-0.01 Tab,-3531,-6003,-1121,-4431,2020
Clindamycin Phos 1% Pledget,-425,-2006,1143,-1332,-2634
Calcium 500 Mg Tablet,700,700,700,1400,3000
Hydroxyzine Hcl 25 Mg Tablet,10566,10151,10969,25164,40553
Atorvastatin 40 Mg Tablet,-24951,-25852,-24049,-40919,-43548
Lovastatin 20 Mg Tablet,22544,22409,22664,44964,46634
Dexilant Dr 30 Mg Capsule,-2663,-2698,-2625,-2434,2315
Alyacen 7-7-7-28 Tablet,6425,4557,8250,11675,15151
Triamcinolone 0.1% Cream,3171,-2643,9094,7956,13015
Enstilar 0.005%-0.064% Foam,3830,-3161,11037,7125,11821
Dexilant Dr 60 Mg Capsule,-24751,-24806,-24694,-43200,-69955
Metoprolol Tartrate 50 Mg Tab,-345,-495,-180,9781,38899
Eletriptan Hbr 40 Mg Tablet,-801,-848,-731,-1652,-773
Paroxetine Hcl 20 Mg Tablet,-780,-1257,-292,-2556,-4428
Phenazopyridine 200 Mg Tab,87722,87722,87722,134252,149182
Armour Thyroid 90 Mg Tablet,35972,35894,36067,51745,27220
Tri-Lo-Marzia Tablet,-5635,-17655,6317,-9730,-15029
Desogestr-Eth Estrad Eth Estra,4715,472,8944,10972,27130
Tretinoin 0.025% Cream,1040,-514,2597,2114,4496
Larin Fe 1-20 Tablet,-1166,-2874,572,-1751,40
Clomiphene Citrate 50 Mg Tab,4143,4143,4143,7900,11699
Escitalopram 10 Mg Tablet,2384,336,4423,4700,9526
Amlodipine Besylate 10 Mg Tab,1976,814,3108,3511,7356
Rosuvastatin Calcium 20 Mg Tab,-492,-1392,386,101,4051
Tri-Estarylla Tablet,498,-803,1747,1568,4306
Foltanx Tablet,210,210,210,420,900
Myorisan 30 Mg Capsule,1073,-2929,4980,2254,4748
Valacyclovir Hcl 500 Mg Tablet,2706,1658,3786,5323,9085
Myorisan 20 Mg Capsule,627,223,1022,942,1450
Sumatriptan Succ 50 Mg Tablet,5886,5877,5895,10646,12557
Erythromycin 2% Gel,21700,21700,21700,40959,54744
Cyclobenzaprine 10 Mg Tablet,164613,164559,164671,486902,1192721
Lamotrigine Er 250 Mg Tablet,4396,4381,4412,9964,17533
Clonidine Hcl 0.1 Mg Tablet,-2839,-2864,-2818,-4064,-5940
Diazepam 10 Mg Tablet,-26483,-26485,-26480,-62134,-122674
Aspir-Low Ec 81 Mg Tablet,-10007,-10013,-10001,-17737,-23509
Targadox 50 Mg Tablet,37679,36869,38607,299836,695721
Dapsone 5% Gel,1651,-1332,4772,3378,7481
Ortho-Cyclen 28 Tablet,53632,52384,54928,91733,119328
Doxycycline Hyclate 20 Mg Tab,1697,-313,3700,3318,6839
Soolantra 1% Cream,3472,-2208,9034,6734,12068
Naproxen 500 Mg Tablet,9673,9086,10334,8211,-12476
Qvar 80 Mcg Oral Inhaler,-5376,-5683,-5108,-5983,-2014
Levothyroxine 175 Mcg Tablet,82,19,146,-1595,-8373
Acyclovir 400 Mg Tablet,335677,335555,335823,435015,298547
Elidel 1% Cream,3117,-2133,8375,7025,14728
Triamterene-Hydrochlorothiazide 37.5-25 Mg Cp,-941,-951,-933,-1676,-1389
Omeprazole Dr 20 Mg Capsule,1451,383,2562,2639,4637
Clindacin P 1% Pledgets,-20853,-20869,-20843,-41625,-50584
Levonor-Eth Estra 0.09-0.02 Mg,-252,-2013,1523,-613,-511
Balziva 28 Tablet,-178,-2011,1680,-534,-1163
Armodafinil 200 Mg Tablet,775,720,833,6430,27059
Cimetidine 800 Mg Tablet,551,305,810,-5700,-27047
Levitra 20 Mg Tablet,67,67,67,913,3226
Tretinoin 0.05% Cream,915,-1982,3759,2307,3161
Sulfacetamide Sod 10% Top Susp,40164,40139,40185,18254,-87294
Myrbetriq Er 50 Mg Tablet,69404,69394,69411,159234,271127
Rosuvastatin Calcium 10 Mg Tab,5127,4287,5992,7000,6398
Doxycycline Hyc Dr 200 Mg Tab,3269,91,6400,6399,10635
Sodium Sulfacetamide-Sulfur 10-2% Cream,-35407,-35538,-35210,-63139,-186032
Meloxicam 15 Mg Tablet,-16612,-16612,-16612,-43631,-87137
Nystatin-Triamcinolone Cream,20531,20359,20667,29002,16132
Clindamycin Phosp 1% Lotion,604,-841,2044,1240,3309
Topiramate 50 Mg Tablet,-37013,-37185,-36839,-34712,-12804
Nortrel 0.5-35-28 Tablet,1086,-436,2580,1792,3340
Venlafaxine Hcl Er 150 Mg Cap,-1260,-2304,-255,-1210,1744
Estradiol 0.5 Mg Tablet,7961,7878,8037,4647,5623
Emoquette 28 Day Tablet,5305,4082,6562,5604,4215
Clonidine Hcl 0.3 Mg Tablet,2497,2491,2504,3152,6083
Losartan-Hydrochlorothiazide 100-12.5 Mg Tab,210,210,210,420,900
Sertraline Hcl 100 Mg Tablet,850,-1144,2933,1449,3216
Retin-A Micro Pump 0.08% Gel,-73,-4687,4542,53,2673
Doxycycline Hyclate 100 Mg Cap,949,-814,2604,1831,3549
Elinest-28 Tablet,6800,6715,6915,21604,39864
Armour Thyroid 120 Mg Tablet,-978,-1217,-751,-950,-115
Lovastatin 40 Mg Tablet,1012,986,1037,4558,14040
Levothyroxine 150 Mcg Tablet,-40022,-40037,-39999,-43137,-26965
Prempro 0.3 Mg-1.5 Mg Tablet,8478,8245,8772,10606,-10057
Livalo 4 Mg Tablet,-6335,-6335,-6335,-9563,-6672
Nortriptyline Hcl 75 Mg Cap,-15039,-15066,-15021,-39236,-77199
Victoza 3-Pak 18 Mg/3 Ml Pen,5388,5388,5388,7508,7608
Oracea 40 Mg Capsule,175,-3163,3681,-148,-1291
Finasteride 5 Mg Tablet,335,213,450,7482,33944
Clindamycin Ph 1% Solution,882,-278,2034,1846,4513
Metamucil Powder,58412,58410,58415,173413,247398
Tacrolimus 0.1% Ointment,4917,3505,6275,-3333,-17034
Metformin Hcl Er 500 Mg Tablet,904,-1044,2790,37,-4346
Minocycline 100 Mg Capsule,151,-1233,1564,486,2508
"Canasa 1,000 Mg Suppository",2154,2087,2226,8466,20505
Potassium Cl Er 8 Meq Capsule,-576,-590,-561,-5974,-18957
Bisoprolol Fumarate 5 Mg Tab,15811,15808,15815,21593,-23771
Levothyroxine 25 Mcg Tablet,-2741,-3027,-2456,-183,21274
Bd Ultra-Fine Pen Ndl 4mmx32g,-51692,-51715,-51663,-90745,-79792
Freestyle 28g Lancets,-26576,-26732,-26464,-53005,-96353
Tri-Linyah Tablet,301,-549,1152,956,4225
Potassium Citrate Er 15 Meq Tb,24367,24266,24482,34792,28247
Calcitriol 0.5 Mcg Capsule,-743,-743,-743,-15334,-47109
Betamethasone Dp Aug 0.05% Crm,18906,18903,18909,27437,57549
Levothyroxine 112 Mcg Tablet,-21474,-21539,-21401,-19228,4644
Aranelle 28 Tablet,152410,152176,152598,201208,183272
Aspirin 81 Mg Chewable Tablet,5859,5841,5873,12680,13449
Citalopram Hbr 40 Mg Tablet,-11607,-11769,-11446,-11528,-3070
Desvenlafaxine Suc Er 25 Mg Tb,-10428,-10431,-10425,-15910,-12176
Spironolactone 100 Mg Tablet,2176,958,3403,4448,7412
Rosuvastatin Calcium 40 Mg Tab,1052,833,1274,2075,3429
Gabapentin 800 Mg Tablet,323499,323380,323845,416319,234355
Clindamycin Ph 1% Gel,475,-1396,2423,908,3049
Delzicol Dr 400 Mg Capsule,-274876,-276649,-273329,-655281,-1207942
Pentoxifylline Er 400 Mg Tab,420,420,420,840,1800
Modafinil 200 Mg Tablet,-469,-469,-469,-2316,221
Tazarotene 0.1% Cream,3358,2130,4550,5099,6518
Meclizine 25 Mg Tablet,2514,2514,2514,14179,7844
Liothyronine Sod 5 Mcg Tab,121857,121804,121917,166923,135545
Nuedexta 20-10 Mg Capsule,420,420,420,840,1800
Ketoconazole 2% Shampoo,612,-1946,3246,1134,2584
Mibelas 24 Fe Chewable Tablet,10728,7749,13695,21713,34470
Atenolol 25 Mg Tablet,-7851,-7868,-7832,-18338,-20882
Levothyroxine 50 Mcg Tablet,260,-373,912,302,1158
Escitalopram 20 Mg Tablet,2798,606,4998,6297,13438
Betamethasone Dp 0.05% Crm,-75473,-75473,-75473,-121833,-120540
Armour Thyroid 60 Mg Tablet,431,121,740,817,1480
Indomethacin 50 Mg Capsule,205,203,206,8627,44903
Metronidazole 0.75% Cream,453,-533,1458,1303,2903
Glyburide 2.5 Mg Tablet,-17853,-17853,-17853,-29923,-25093
Taclonex 0.005%-0.064% Suspension,11197,6984,15406,26037,46492
Ramipril 10 Mg Capsule,420,420,420,840,1800
Flecainide Acetate 150 Mg Tab,420,420,420,840,1800
Triamcinolone 0.147 Mg/g Spray,-17256,-18386,-16321,-37802,-51263
Metronidazole Topical 1% Gel,2886,2262,3502,5436,9988
Valsartan 80 Mg Tablet,11804,11640,12021,28310,53724
Prednisone 1 Mg Tablet,-46304,-46690,-45924,-133149,-283765
Mometasone Furoate 0.1% Cream,6706,6690,6737,21104,44424
Econazole Nitrate 1% Cream,-4745,-4976,-4510,-9286,-8815
Cefdinir 300 Mg Capsule,675,675,676,2637,9193
Symbicort 160-4.5 Mcg Inhaler,-1245,-1245,-1244,-1435,-838
Sildenafil 100 Mg Tablet,2306,1593,3006,4010,4427
Amantadine 100 Mg Capsule,10722,10722,10722,9029,-9442
Bupropion Hcl Sr 150 Mg Tablet,2103,-251,4419,4887,12031
Metoprolol Succ Er 200 Mg Tab,3649,3649,3649,7498,9651
Warfarin Sodium 5 Mg Tablet,21559,21559,21559,28905,27305
Labetalol Hcl 200 Mg Tablet,82154,82104,82207,110739,23082
Finasteride 1mg,383026,255664,506895,784313,1757769
Doryx Dr 50 Mg Tablet,1466,1466,1466,3083,7953
"Vitamin D3 50,000 Units Caps",-488,-490,-486,-1171,-2089
Duloxetine Hcl Dr 30 Mg Cap,-18450,-19110,-17775,-30426,-36010
Falmina-28 Tablet,6671,6596,6749,-13520,-56906
Prednisone 10 Mg Tablet,-10713,-10806,-10624,-20862,-33297
Pimtrea 28 Day Tablet,3906,-171,8119,9629,17181
Ogestrel Tablet,1820,1696,1950,-2251,-11156
Sulfacetamide-Sulfur 8-4% Susp,126,-2763,3054,3130,10104
Ivermectin 3 Mg Tablet,-4497,-4535,-4467,-6488,-13939
Atorvastatin 10 Mg Tablet,606,-916,2122,723,1616
Clobetasol Emollnt 0.05% Foam,14077,13754,14400,1596,-38671
Doxycycline Hyc Dr 150 Mg Tab,3159,1704,4622,8658,14221
Fluocinonide 0.05% Ointment,35716,35686,35748,69035,89885
Ciclopirox 0.77% Gel,26438,26405,26485,41105,47694
Citalopram Hbr 10 Mg Tablet,110437,110204,110643,143109,130346
Adapalene-Bnzyl Perox 0.1-2.5%,-712,-5077,3759,-474,2473
Naltrexone 50 Mg Tablet,-2053,-2920,-1181,-6919,-13186
Fluocinolone 0.025% Cream,-99812,-99820,-99805,-167268,-192377
Allopurinol 300 Mg Tablet,72699,72411,72948,153262,242400
Melodetta 24 Fe Chewable Tab,4616,-441,9820,8979,12606
Fluorouracil 5% Cream,5446,1856,9084,10683,22919
Sulfamethoxazole-Tmp Ss Tablet,385,359,410,1335,2943
Mirvaso 0.33% Gel,9717,9706,9726,14600,11130
Doxycycline Mono 100 Mg Cap,1038,-438,2551,2416,5720
Xolegel 2% Gel,-7643,-7762,-7520,-14797,-30164
Desonide 0.05% Cream,5279,3894,6671,9119,11366
Clindamycin-Benzoyl Perox 1-5%,472,-2982,3911,737,1899
Terbinafine Hcl 250 Mg Tablet,60264,60264,60264,93338,129595
Ciclopirox 8% Solution,163,9,316,341,672
Ketoconazole 2% Cream,879,93,1652,1419,2485
Luzu 1% Cream,-36252,-36801,-35687,-47005,-48639
Adapalene 0.1% Gel,-23622,-23745,-23488,-25502,-8603
Caziant 28 Day Tablet,1935,818,3084,3684,5266
Doxycycline Mono 100 Mg Tablet,-6609,-6609,-6609,-16491,-22780
Adapalene 0.3% Gel,348,-1932,2665,1494,4979
Fluconazole 150 Mg Tablet,-33,-150,78,-86,-308
Flurandrenolide 0.05% Lotion,-177851,-178113,-177645,-348285,-354890
Kerydin 5% Topical Solution,956,748,1158,2233,4101
Doryx Dr 200 Mg Tablet,-3060,-4733,-1366,-3415,1417
Ziana Gel,-3164,-3369,-2953,-730,28140
Jolessa 0.15 Mg-0.03 Mg Tablet,-20208,-20604,-19810,-49330,-74242
Cyred 28 Day Tablet,-47673,-47673,-47673,-81617,-90554
Lyrica 150 Mg Capsule,-32922,-33086,-32724,-55766,-51438
Keralac 47% Cream,6326,726,11851,12247,12491
Tri-Previfem Tablet,2572,1932,3199,1732,-2403
