drug,7_days,7_days_min,7_days_max,14_days,30_days
Aspirin 81 Mg Chewable Tablet,103,102,103,471,2467
Aspirin Ec 81 Mg Tablet,868,849,892,2952,7651
Atenolol 25 Mg Tablet,358,356,359,-3689,-3687
Atenolol 50 Mg Tablet,-1132,-1137,-1130,-426,6151
Atorvastatin 10 Mg Tablet,144,55,229,563,3269
Atorvastatin 20 Mg Tablet,55,-89,196,138,368
Atorvastatin 40 Mg Tablet,732,509,954,1203,-3424
Atorvastatin 80 Mg Tablet,-36184,-36196,-36166,-100477,-209406
Atovaquone-Proguanil 250-100 Mg Tablet,7474,7474,7474,22186,3560
Aubra-28 Tablet,2155,2155,2155,9056,31283
Avar Cleanser,-156711,-162487,-149792,-187283,-23024
Avar Ls Cleanser,10213,10210,10215,40278,91293
Avar-E Ls Cream,49794,49080,50358,114558,101068
Aviane-28 Tablet,407,-3101,4073,647,1117
Azathioprine 50 Mg Tablet,-341,-358,-330,2154,25330
Azelaic Acid 15% Gel,-145533,-147098,-143392,-313812,48165
Azelex 20% Cream,1056,1055,1057,1100,150
Azithromycin 250 Mg Tablet,-283,-341,-225,-1688,-9117
Azithromycin 500 Mg Tablet,16640,16626,16658,58290,111516
Azurette 28 Day Tablet,-253,-1271,770,106,449
Baclofen 10 Mg Tablet,-1816,-1899,-1735,-5880,-13244
Balcoltra Tablet,423,423,423,-1707,-5682
Balziva 28 Tablet,-73,-531,380,-134,-163
Banophen 25 Mg Tablet,106,106,106,212,454
Bd Ultra-Fine Pen Ndl 4mmx32g,-199,-199,-199,-1343,-2572
Bd Ultra-Fine Pen Ndl 5mmx31g,-263,-263,-263,-742,-1909
Benazepril Hcl 20 Mg Tablet,258,258,258,259,1925
Benzefoam Ultra 9.8% Foam,-1888,-1911,-1840,362,40202
Benzepro 6% Foaming Cloths,-3500,-3500,-3500,-6889,-2290
Benzonatate 100 Mg Capsule,-185,-186,-184,-435,603
Benzoyl Peroxide 10% Wash,-114,-114,-113,-356,23802
Benzoyl Peroxide 2.5% Gel,1932,1928,1938,5059,17349
Benzoyl Peroxide 5% Gel,913,913,913,4867,21202
Benzoyl Peroxide 5% Wash,-1941,-1945,-1934,-5740,-10191
Benztropine Mes 0.5 Mg Tab,-131,-131,-130,423,4393
Betamethasone Dp 0.05% Crm,7547,7515,7580,12641,30239
Betamethasone Dp 0.05% Lot,-163,-163,-163,-398,-905
Betamethasone Dp 0.05% Oint,-341,-341,-341,-1479,-7038
Betamethasone Dp Aug 0.05% Crm,-28197,-28206,-28182,-87991,-207158
Betamethasone Va 0.1% Cream,4107,4106,4109,9496,19259
Betamethasone Valer 0.12% Foam,28353,28352,28353,36277,-91576
Beyaz 28 Tablet,-335,-833,135,-643,-1614
Bimatoprost 0.03% Eyelash Soln,10130,10130,10131,20101,17477
Bisoprolol Fumarate 5 Mg Tab,-5177,-5194,-5158,-19652,-75673
Blisovi 24 Fe Tablet,-317,-1524,902,-686,-988
Blisovi Fe 1-20 Tablet,480,-5227,6150,-1384,-13105
Blisovi Fe 1.5-30 Tablet,125,-66,318,250,720
Breo Ellipta 100-25 Mcg Inh,1893,1882,1902,6856,23766
Briellyn Tablet,834,77,1576,2256,2098
Brilinta 90 Mg Tablet,2126,2123,2127,6278,-1493
Bryhali 0.01% Lotion,-465,-1891,976,-5141,-64417
Budesonide 0.5 Mg/2 Ml Susp,-13619,-14182,-13067,-19771,39439
Buprenorphine 8 Mg Tablet Sl,-205,-218,-185,928,1356
Buprenorphine-Naloxone 2-0.5 Mg Sl Tablet,-19214,-19404,-19014,-67846,56157
Buprenorphine-Naloxone 8-2 Mg Sl Tablet,-1262,-1280,-1238,-7651,-38520
Bupropion Hcl 100 Mg Tablet,-246,-527,26,-1023,2995
Bupropion Hcl 75 Mg Tablet,289,195,381,1170,6485
Bupropion Hcl Sr 100 Mg Tablet,169,-8,346,344,-1784
Bupropion Hcl Sr 150 Mg Tablet,860,298,1389,1963,4170
Bupropion Hcl Sr 200 Mg Tablet,-730,-742,-710,-3610,-7044
Bupropion Hcl Xl 150 Mg Tablet,691,-489,1833,1609,5575
Bupropion Hcl Xl 300 Mg Tablet,3025,2034,3994,5874,13022
Buspirone Hcl 10 Mg Tablet,-372,-648,-94,-3021,-23385
Buspirone Hcl 15 Mg Tablet,76,-102,259,-2162,-25243
Buspirone Hcl 30 Mg Tablet,-692,-693,-692,-1737,-9173
Buspirone Hcl 5 Mg Tablet,743,478,1012,2088,4892
Buspirone Hcl 7.5 Mg Tablet,559,58,1019,2448,1692
Calcipotriene 0.005% Cream,-146625,-147551,-145851,-272696,492373
Calcipotriene 0.005% Ointment,7839,7775,7932,64754,428248
Calcipotriene 0.005% Solution,-3829,-3853,-3801,-5098,9480
Calcipotriene-Betameth Dp Oint,-146883,-146898,-146860,-371920,-750414
Calcitriol 0.5 Mcg Capsule,9614,9608,9621,59065,236015
Calcium 500 Mg Tablet,-3,-3,-3,-6,-13
Calcium 600 Mg Tablet,2675,2675,2675,6020,4176
Camila 0.35 Mg Tablet,76,-769,898,233,1335
Camrese 0.15-0.03-0.01 Mg Tab,-1984,-9206,4977,-5910,-19489
Camrese Lo Tablet,761,-2287,3790,587,2218
"Canasa 1,000 Mg Suppository",3013,2993,3039,-10625,-76291
Carvedilol 12.5 Mg Tablet,10012,9993,10026,30603,80764
Carvedilol 25 Mg Tablet,1734,1725,1743,3203,6617
Carvedilol 3.125 Mg Tablet,-9648,-9650,-9648,-32135,-78260
Caziant 28 Day Tablet,232,-415,890,547,2474
Cefdinir 300 Mg Capsule,-1013,-1013,-1013,-1158,930
Cefuroxime Axetil 250 Mg Tab,-5739,-5748,-5725,-14255,-53099
Celecoxib 200 Mg Capsule,136,136,136,756,2003
Cephalexin 250 Mg Tablet,-880,-880,-879,-930,289
Cephalexin 500 Mg Capsule,6970,6942,6998,23496,94577
Cetirizine Hcl 10 Mg Tablet,-14367,-14444,-14343,-26957,-74606
Chantix Starting Month Box,3945,3945,3945,21693,81072
Chateal-28 Tablet,905,880,932,4151,17200
Chlorhexidine 0.12% Rinse,196,196,196,387,-521
Chlorthalidone 25 Mg Tablet,255,247,261,-7791,-83985
Chlorzoxazone 500 Mg Tablet,-33363,-33406,-33352,-70208,-125169
Cialis 10 Mg Tablet,-43,-189,114,-827,90
Cialis 2.5 Mg Tablet,82,25,137,-260,-9739
Cialis 20 Mg Tablet,97,-320,523,-183,-1090
Cialis 5 Mg Tablet,-885,-1553,-177,-6767,-59835
Ciclopirox 0.77% Cream,1702,1691,1709,1693,-11629
Ciclopirox 0.77% Gel,-8231,-8306,-8207,-13831,-24383
Ciclopirox 1% Shampoo,1142,-655,2923,2621,5862
Ciclopirox 8% Solution,-78,-337,184,0,738
Cimetidine 300 Mg Tablet,156,156,156,378,-160
Cimetidine 800 Mg Tablet,3723,3706,3747,11668,1841
Citalopram Hbr 10 Mg Tablet,-296,-314,-268,-2507,-27290
Citalopram Hbr 20 Mg Tablet,138,-61,329,247,332
Citalopram Hbr 40 Mg Tablet,458,434,477,980,1019
Clind Ph-Benzoyl Pero 1.2-2.5%,1178,1172,1180,6512,63913
Clind Ph-Benzoyl Perox 1.2-5%,-531,-2011,953,1399,18415
Clinda-Benzoyl Perox 1-5% Pump,23508,23320,23916,29533,1836
Clinda-Tretinoin 1.2%-0.025%,10460,4724,16184,46629,135958
Clindacin P 1% Pledgets,58268,58041,58668,-649267,-3523650
Clindagel 1% Gel,327175,324200,330225,608539,742935
Clindamycin Ph 1% Gel,-716,-1705,264,-1721,-4431
Clindamycin Ph 1% Solution,210,-554,979,635,1344
Clindamycin Phos 1% Pledget,-232,-474,15,-259,-251
Clindamycin Phosp 1% Lotion,942,394,1484,2206,5731
Clindamycin Phosphate 1% Foam,-324,-325,-324,746,6030
Clindamycin Phosphate 1% Gel,-366080,-366080,-366080,-915722,-1879111
Clindamycin-Benzoyl Perox 1-5%,-848,-5196,3588,-1494,-5152
Clobetasol 0.05% Cream,185,-2176,2609,367,-1370
Clobetasol 0.05% Gel,-2722,-2722,-2722,-9686,-7562
Clobetasol 0.05% Ointment,87684,87356,87981,199799,535803
Clobetasol 0.05% Shampoo,2695,2655,2746,4980,-50487
Clobetasol 0.05% Solution,-653,-2006,665,-1533,-3522
Clobetasol 0.05% Topical Lotn,-56986,-57071,-56921,-139204,127613
Clobetasol Emollnt 0.05% Foam,19046,18894,19111,7033,48362
Clobetasol Emulsion 0.05% Foam,340712,340704,340732,403982,430490
Clobetasol Prop 0.05% Foam,-1558,-12063,8723,-3190,-10149
Clobetasol Prop 0.05% Spray,-573,-5326,4056,-11607,-42367
Clobex 0.05% Spray,1280621,1277882,1282444,3839723,3283787
Clocortolone 0.1% Cream Pump,7922,7922,7922,-2398,-89467
Clocortolone Pivalate 0.1% Crm,62070,62069,62070,143576,213729
Cloderm 0.1% Cream,-1475,-1943,-1020,8379,-17392
Clomiphene Citrate 50 Mg Tab,12377,12376,12377,24213,40050
Clonazepam 1 Mg Tablet,-1457,-1457,-1457,-3523,-3889
Clonidine Hcl 0.1 Mg Tablet,1798,1795,1800,3857,13931
Clonidine Hcl 0.2 Mg Tablet,15,15,15,-75,-524
Clonidine Hcl 0.3 Mg Tablet,50,50,50,174,-187
Clopidogrel 75 Mg Tablet,484,339,631,926,2170
Clotrimazole 1% Cream,-253,-253,-253,-1199,-2358
Combivent Respimat Inhal Spray,-1103,-1105,-1098,-650,-88
Cordran 4 Mcg/sq Cm Tape Large,-835,-841,-825,-36040,-168116
Cryselle-28 Tablet,1657,-633,3980,3358,6182
Cyclafem 1-35-28 Tablet,-82,-91,-72,-359,-1110
Cyclafem 7-7-7-28 Tablet,1669,1071,2268,3219,4778
Cyclobenzaprine 10 Mg Tablet,2617,2614,2622,5124,-1014
Cyclobenzaprine 5 Mg Tablet,2097,2092,2103,3846,4912
Cymbalta 60 Mg Capsule,-165,-167,-163,-372,206
Cyred 28 Day Tablet,-3436,-3441,-3427,-7550,-4490
Dapsone 25 Mg Tablet,1555,1546,1566,10586,81939
Dapsone 5% Gel,-2374,-9956,4971,946,12330
Dasetta 1-35-28 Tablet,-420,-1228,390,-1045,-3485
Dasetta 7/7/7-28 Tablet,8933,8933,8933,53901,174668
Daysee 0.15-0.03-0.01 Mg Tab,-3951,-3955,-3945,-18389,-61380
Deblitane 0.35 Mg Tablet,7173,2039,12441,28893,104693
Delzicol Dr 400 Mg Capsule,104532,103721,105228,-129005,-1921108
Depo-Subq Provera 104 Syringe,-109,-1131,972,-474,-1823
Dermotic Oil 0.01% Ear Drops,-801,-801,-801,-3054,-7528
Descovy 200-25 Mg Tablet,679,678,680,2030,5150
Desogestr-Eth Estrad Eth Estra,3781,1407,6176,16748,147813
Desonate 0.05% Gel,-493,-1182,201,-942,-2231
Desonide 0.05% Cream,2412,1362,3536,7384,8050
Desonide 0.05% Lotion,11648,11641,11660,26824,42523
Desonide 0.05% Ointment,-38864,-38918,-38794,-78650,-173626
Desoximetasone 0.05% Ointment,9194,9194,9194,10580,-2736
Desoximetasone 0.25% Cream,-3610,-3727,-3508,-4158,-47290
Desoximetasone 0.25% Ointment,-5725,-5727,-5724,-10999,-10429
Desvenlafaxine Suc Er 100 Mg,1696,1644,1747,3860,22978
Desvenlafaxine Suc Er 25 Mg Tb,2473,2472,2475,5695,7558
Desvenlafaxine Suc Er 50 Mg Tb,-931,-1122,-736,-6778,-59427
Dexilant Dr 30 Mg Capsule,3845,3843,3850,11803,40995
Dexilant Dr 60 Mg Capsule,-7429,-7449,-7416,-32263,-132047
Diazepam 10 Mg Tablet,143,143,144,-73,-882
Diclofenac Sod Ec 75 Mg Tab,735,735,735,1788,6494
Diclofenac Sod Er 100 Mg Tab,313,313,314,131,-1164
Diclofenac Sodium 1% Gel,-470,-470,-470,-1550,-2646
Dicyclomine 10 Mg Capsule,429,423,435,-75,-5858
Digoxin 0.125 Mg Tablet,4809,4798,4817,16864,95750
Diphenhist 25 Mg Captab,13,13,13,-63,-345
Disulfiram 250 Mg Tablet,-2599,-2600,-2598,-5303,-7551
Divalproex Sod Dr 500 Mg Tab,183,182,184,628,992
Divalproex Sod Er 500 Mg Tab,2320,2320,2320,3682,-1399
Docusate Sodium 100 Mg Softgel,-207,-210,-204,-537,-314
Donepezil Hcl 10 Mg Tablet,-708,-708,-707,-331,2598
Doryx Dr 200 Mg Tablet,-650812,-672120,-623435,-1339326,-2559671
Doryx Dr 50 Mg Tablet,64617,64617,64617,40509,-779140
Doryx Mpc Dr 120 Mg Tablet,-202,-2823,2348,-265,-1626
Doxazosin Mesylate 1 Mg Tab,1380,1377,1384,3948,9640
Doxazosin Mesylate 2 Mg Tab,3355,3355,3355,10415,31785
Doxazosin Mesylate 8 Mg Tab,-19162,-19178,-19144,-51166,-88651
Doxycycline 50 Mg Tablet,34667,19460,49457,128546,460404
Doxycycline Hyc Dr 100 Mg Tab,1833,-1829,5545,-2692,-64077
Doxycycline Hyc Dr 150 Mg Tab,-7097,-13593,-454,-38517,-136467
Doxycycline Hyc Dr 200 Mg Tab,-20381,-112319,71172,-45386,-152554
Doxycycline Hyc Dr 50 Mg Tab,-9289,-23727,5132,-91764,-731472
Doxycycline Hyclate 100 Mg Cap,97,-1548,1764,486,3458
Doxycycline Hyclate 100 Mg Tab,-3889,-5379,-2361,-15598,-71214
Doxycycline Hyclate 150 Mg Tab,-29994,-37123,-22539,-58131,-121413
Doxycycline Hyclate 20 Mg Tab,81,-227,376,153,444
Doxycycline Hyclate 50 Mg Cap,703,73,1330,1344,3561
Doxycycline Hyclate 75 Mg Tab,114212,114181,114348,221645,165711
Doxycycline Ir-Dr 40 Mg Cap,-7167,-17007,2766,-14526,-33316
Doxycycline Mono 100 Mg Cap,42,-250,328,190,467
Doxycycline Mono 100 Mg Tablet,4695,4687,4700,14000,40677
Doxycycline Mono 150 Mg Cap,-25346,-25346,-25346,-73996,-162844
Doxycycline Mono 150 Mg Tablet,10001,9977,10020,37566,8358
Doxycycline Mono 50 Mg Cap,-10,-11,-9,103,-799
Doxycycline Mono 50 Mg Tablet,-152,-289,-14,-412,-1107
Doxycycline Mono 75 Mg Capsule,-209,-244,-180,24442,47174
Doxycycline Mono 75 Mg Tablet,300,298,301,-129,-813
Drithocreme Hp 1% Cream,6423,6277,6545,19990,59627
Drosp-Ee-Levomef 3-0.02-0.451,1817,-4202,7750,3094,6885
Drosp-Ee-Levomef 3-0.03-0.451,-41651,-44586,-38452,-80354,546619
Drospirenone-Ee 3-0.02 Mg Tab,5561,-20446,31704,12885,36835
Drospirenone-Ee 3-0.03 Mg Tab,6151,-139,12585,13762,39528
Drysol Dab-O-Matic Solution,4899,4898,4900,12583,27443
Dulera 100 Mcg/5 Mcg Inhaler,-17190,-17190,-17189,-73262,-114685
Duloxetine Hcl Dr 20 Mg Cap,63,-71,196,241,1355
Duloxetine Hcl Dr 30 Mg Cap,-92,-253,69,-1472,-19108
Duloxetine Hcl Dr 40 Mg Cap,3357,3121,3609,18435,134109
Duloxetine Hcl Dr 60 Mg Cap,48,-373,470,80,929
Duobrii 0.01%-0.045% Lotion,9548,-8119,28192,37088,418772
Econazole Nitrate 1% Cream,-14418,-15137,-13896,-32965,-130762
Ecoza 1% Foam,-3633,-3959,-3296,-12705,-26962
Edarbyclor 40-12.5 Mg Tablet,-2769,-2775,-2752,-9916,-72307
Effexor Xr 150 Mg Capsule,-15396,-15422,-15352,-41867,-46976
Eletriptan Hbr 40 Mg Tablet,43754,43641,43872,156257,-9439
Elidel 1% Cream,-123,-4749,4441,53,1507
Elinest-28 Tablet,234,233,235,397,-186
Ella 30 Mg Tablet,2602,1824,3357,5156,10937
Emgality 120 Mg/ml Pen,-46198,-46253,-46147,-110110,-301295
Emoquette 28 Day Tablet,1741,1172,2312,8669,26752
Enpresse-28 Tablet,-1094,-1105,-1085,1108,4121
Enskyce 28 Tablet,1379,-2514,5249,1189,-6856
Enstilar 0.005%-0.064% Foam,-172,-10622,10466,650,4209
Entresto 49 Mg-51 Mg Tablet,-2571,-2575,-2565,-4736,-741
Epiduo 0.1-2.5% Gel Pump,-389183,-389262,-388951,-1091107,-1521616
Epiduo Forte 0.3-2.5% Gel Pump,-1916,-7583,3550,-3196,-4034
Ergotamine-Caffeine 1-100 Mg Tb,9159,8356,10033,21710,54413
Errin 0.35 Mg Tablet,-981,-4143,2321,-2363,-6554
Erythromycin 2% Gel,-1008,-1056,-939,-1528,23326
Erythromycin 2% Solution,-81,-88,-75,-60,-3222
Escitalopram 10 Mg Tablet,763,72,1470,1557,3468
Escitalopram 20 Mg Tablet,1100,427,1751,2590,5842
Escitalopram 5 Mg Tablet,358,160,550,1732,12538
Esomeprazole Mag Dr 20 Mg Cap,12148,12146,12153,27369,18122
Esomeprazole Mag Dr 40 Mg Cap,-4689,-4694,-4683,-8661,-2334
Estarylla 0.25-0.035 Mg Tablet,818,780,867,-7,-8140
Estradiol 0.5 Mg Tablet,-3864,-3871,-3858,-9630,-14274
Estradiol 1 Mg Tablet,4578,4575,4580,12196,20379
Estradiol 2 Mg Tablet,-114,-116,-111,1885,4010
Estradiol Tds 0.025 Mg/day,3798,3789,3802,4891,8646
Estradiol-Noreth 0.5-0.1 Mg Tb,11091,11037,11129,31811,59392
Estrostep Fe-28 Tablet,-471,-473,-469,88,4346
Eszopiclone 2 Mg Tablet,-1404,-1404,-1404,-1239,4182
Eszopiclone 3 Mg Tablet,1336,1336,1336,4649,13407
Eucrisa 2% Ointment,-3379,-7786,944,-8208,-19712
Exelderm 1% Cream,988,787,1160,39587,125826
Exelderm 1% Solution,-32038,-32044,-32038,-63931,-194747
Exemestane 25 Mg Tablet,118625,117701,119342,501827,1492754
Ezetimibe 10 Mg Tablet,-821,-1109,-522,-4609,-27127
Fabior 0.1% Foam,-3837,-24881,16653,-9494,-29334
Falmina-28 Tablet,3964,3945,3982,10575,-19730
Famotidine 20 Mg Tablet,6068,6059,6078,23861,69461
Femynor 28 Tablet,45,-1625,1666,627,4812
Fenofibrate 145 Mg Tablet,-1393,-1393,-1393,-1393,14107
Fenofibrate 160 Mg Tablet,3419,3417,3421,4856,21231
Ferrous Sulfate 325 Mg Tablet,-3,-3,-3,7,70
Fetzima Er 120 Mg Capsule,18410,18393,18435,49517,121910
Finacea 15% Foam,-629,-3325,2050,-1516,-3066
Finacea 15% Gel,-19,-1805,1787,-143,-1852
Finasteride 1 Mg Tablet,65835,10124,121955,129436,262140
Finasteride 5 Mg Tablet,-2965,-2972,-2959,-15795,-85033
Flecainide Acetate 150 Mg Tab,90,89,91,429,2883
Fluconazole 150 Mg Tablet,845,530,1159,4752,29039
Fluconazole 200 Mg Tablet,-286,-454,-118,-541,4516
Fluocinolone 0.01% Body Oil,16327,16325,16330,47943,308056
Fluocinolone 0.01% Scalp Oil,854,829,877,2962,-36476
Fluocinolone 0.01% Solution,13771,13759,13780,48749,97908
Fluocinolone 0.025% Cream,272,271,273,7092,29776
Fluocinolone 0.025% Ointment,3106,3036,3159,-2262,-50658
Fluocinonide 0.05% Cream,-61215,-61415,-60958,-147956,-291765
Fluocinonide 0.05% Ointment,-6198,-6207,-6188,-34529,-71804
Fluocinonide 0.05% Solution,12948,12299,13459,-50134,-427492
Fluorouracil 5% Cream,2159,-1115,5432,4480,11472
Fluoxetine Hcl 10 Mg Capsule,646,571,721,1819,5906
Fluoxetine Hcl 10 Mg Tablet,246,-47,514,785,8533
Fluoxetine Hcl 20 Mg Capsule,972,469,1465,3096,11808
Fluoxetine Hcl 20 Mg Tablet,2970,2287,3653,12961,52400
Fluoxetine Hcl 40 Mg Capsule,370,21,725,994,2570
Fluoxetine Hcl 60 Mg Tablet,-3052,-3536,-2619,-11085,-76051
Flurandrenolide 0.05% Lotion,-620157,-623753,-616893,-1660684,-205885
Flurandrenolide 0.05% Ointment,-1416,-1416,-1416,1351,-5677
Fluticasone Prop 0.05% Cream,-3127,-3127,-3127,-9110,-2914
Fluticasone Prop 50 Mcg Spray,5425,5396,5466,9658,347
Fluvoxamine Maleate 50 Mg Tab,-5209,-5235,-5187,-9719,-12406
Folic Acid 1 Mg Tablet,-218,-220,-215,-198,8137
Foltanx Tablet,3514,3510,3517,7594,10087
Freestyle 28g Lancets,118,117,118,59,-24
Furosemide 20 Mg Tablet,144,141,146,-1489,-13311
Furosemide 40 Mg Tablet,119,119,119,990,3670
Furosemide 80 Mg Tablet,-3517,-3517,-3517,-8721,1213
Gabapentin 100 Mg Capsule,2103,2100,2106,10291,50010
Gabapentin 300 Mg Capsule,0,-240,243,46,449
Gabapentin 600 Mg Tablet,8943,8943,8943,15042,20730
Gabapentin 800 Mg Tablet,-1308,-1308,-1308,-1813,6374
Gelnique 10% Gel Sachet,167,167,167,209,-1769
Gemfibrozil 600 Mg Tablet,-823,-824,-823,-3725,-11083
Gianvi 3 Mg-0.02 Mg Tablet,1397,-27539,29728,3072,8937
Glimepiride 2 Mg Tablet,7720,7720,7720,13406,-1637
Glimepiride 4 Mg Tablet,2692,2686,2698,6881,-2934
Glipizide 10 Mg Tablet,-729,-729,-729,-412,-225
Glipizide Er 10 Mg Tablet,-3865,-3875,-3865,-10830,-25935
Glipizide Er 5 Mg Tablet,-4170,-4170,-4170,-10373,-20509
Glyburide 2.5 Mg Tablet,-738,-739,-738,-872,-5235
Glyburide 5 Mg Tablet,-24,-24,-24,-35,-206
Glycopyrrolate 1 Mg Tablet,245,245,245,326,614
Guanfacine 1 Mg Tablet,999,913,1114,6779,42837
Guanfacine Hcl Er 2 Mg Tablet,-460,-463,-457,-1943,-7439
Halobetasol Prop 0.05% Cream,7686,7680,7689,4726,-61248
Halobetasol Prop 0.05% Foam,26739,10211,43284,138328,920540
Halobetasol Prop 0.05% Ointmnt,-19931,-19934,-19925,-70810,-217293
Halog 0.1% Cream,19212,19003,19407,20876,-110803
Halog 0.1% Ointment,10128,10122,10133,35272,56355
Heather Tablet,3447,-138,7065,8553,9894
Hm Low Dose Aspirin Ec 81 Mg,41,41,41,129,323
Hm Omeprazole Dr 20 Mg Tablet,-628,-629,-627,-1680,-2906
Hm Pain Relief 500 Mg Tablet,-14,-14,-14,-132,-340
Hm Sleep Aid 25 Mg Tablet,-231,-233,-227,573,1181
Humalog 100 Units/ml Vial,1685,1642,1718,-18568,-134964
Hyclodex 0.012% Spray Solution,-18693,-19413,-17921,-36775,-40310
Hydrochlorothiazide 12.5 Mg Cp,1067,1067,1068,3148,8833
Hydrochlorothiazide 12.5 Mg Tb,732,731,733,1734,3302
Hydrochlorothiazide 25 Mg Tab,101,28,173,225,518
Hydrochlorothiazide 50 Mg Tab,101,101,101,915,2208
Hydrocort Buty 0.1% Lipo Cream,-61181,-61325,-60950,-223167,-798333
Hydrocortisone 2.5% Cream,-604,-639,-567,-1316,-3620
Hydrocortisone 2.5% Lotion,-462,-467,-458,-5944,-9158
Hydrocortisone 2.5% Ointment,448,448,449,793,2627
Hydrocortisone 5 Mg Tablet,5309,5307,5314,8004,12804
Hydrocortisone Buty 0.1% Cream,-6559,-6561,-6558,-399,72826
Hydroquinone 4% Cream,5254,5251,5257,13505,27754
Hydroxychloroquine 200 Mg Tab,-1016,-1288,-738,-2986,-3291
Hydroxyzine Hcl 10 Mg Tablet,4149,4144,4155,7300,-14405
Hydroxyzine Hcl 25 Mg Tablet,-4217,-4286,-4158,-13592,-46354
